SampleID1,SampleID2,time_divergent,Distance_km
WTCHG_441196_277151,WTCHG_441195_277146,2.996603381,0.50281901
WTCHG_585651_276139,WTCHG_774611_71995271,2.989580876,2.08763471
WTCHG_441195_218177,WTCHG_777461_73515327,2.989456584,4.755333322
WTCHG_585651_276139,WTCHG_598913_249101,2.986225665,3.03140721
WTCHG_585651_276139,WTCHG_585650_258114,2.984643523,3.727887752
WTCHG_585651_276139,WTCHG_777461_73605336,2.983040635,10.48854152
WTCHG_585651_276139,WTCHG_774611_72805256,2.98045532,2.11617956
WTCHG_769357_72225198,WTCHG_777461_73775353,2.973697276,11.07615555
WTCHG_585650_272110,WTCHG_598912_229139,2.967627967,0.860632053
WTCHG_441195_281104,WTCHG_598913_212154,2.962422342,0.286341391
WTCHG_379286_294104,WTCHG_379285_282190,0.360973081,0.060454458
WTCHG_441197_228146,WTCHG_769357_71335109,2.949095267,0.404430404
WTCHG_769357_70295005,WTCHG_769357_71565132,2.948791087,1.956190075
WTCHG_774610_72955367,WTCHG_774610_73515327,2.948604362,8.933037911
WTCHG_769357_72025274,WTCHG_769357_71235099,0.364018305,0.002474087
WTCHG_379286_252189,WTCHG_585651_225188,0.495516859,1.215097016
WTCHG_774610_72295205,WTCHG_441197_269151,2.941286878,1.081139376
WTCHG_774610_72315207,WTCHG_598912_293143,0.499217097,0.062077904
WTCHG_379286_278189,WTCHG_441196_226176,0.517850039,1.37527998
WTCHG_379286_241102,WTCHG_379285_269190,2.93152874,0.004418886
WTCHG_774610_73645340,WTCHG_585651_256196,2.929746114,4.805824714
WTCHG_777461_73155291,WTCHG_585651_256196,2.92900086,1.40250717
WTCHG_585650_211165,WTCHG_585651_256196,2.925733369,1.969388913
WTCHG_441196_256196,WTCHG_585651_232104,2.918637418,2.393744336
WTCHG_379286_216104,WTCHG_769357_72815257,2.917602838,0.454093394
WTCHG_769357_71435119,WTCHG_777461_73775353,2.916646221,7.108889587
WTCHG_379286_216104,WTCHG_441195_235134,2.91663202,0.339100048
WTCHG_379286_216104,WTCHG_444990_292155,2.915300212,1.823118659
WTCHG_441196_282181,WTCHG_585648_248195,2.910308991,1.064440122
WTCHG_444990_287177,WTCHG_774611_72345210,2.909650636,0.091321057
WTCHG_777461_73655341,WTCHG_444991_278164,2.906118239,8.295019213
WTCHG_777461_73145290,WTCHG_444991_278164,2.905478114,0.50827201
WTCHG_585651_287121,WTCHG_441195_221141,2.896254763,0.198477384
WTCHG_441195_202118,WTCHG_777461_73515327,2.896026983,0.74076837
WTCHG_441197_254161,WTCHG_441195_221141,2.894941608,0.705238255
WTCHG_769357_71705146,WTCHG_385771_253103,2.894667473,1.10524866
WTCHG_441195_233110,WTCHG_441195_221141,2.893216952,0.689347388
WTCHG_774610_73375313,WTCHG_774610_73515327,2.891518473,6.236764427
WTCHG_774610_73645340,WTCHG_585650_218176,2.872020539,2.60426969
WTCHG_774610_72145286,WTCHG_774611_73375313,2.871507302,0.011299628
WTCHG_777461_73155291,WTCHG_585650_218176,2.871275284,0.799047855
WTCHG_777461_71335109,WTCHG_598912_217108,0.518308511,0.537605231
WTCHG_774610_72275203,WTCHG_774611_73375313,2.868811678,1.467411648
WTCHG_585650_211165,WTCHG_585650_218176,2.868007793,0.232166111
WTCHG_379285_213190,WTCHG_585650_288108,0.527441589,0.091104227
WTCHG_379286_212102,WTCHG_441196_206166,2.85288348,1.394673487
WTCHG_598912_287120,WTCHG_444990_226122,0.605010045,1.482199461
WTCHG_379285_303190,WTCHG_441197_270163,2.848560227,2.172455312
WTCHG_379285_303190,WTCHG_441197_284141,2.848289749,2.333356595
WTCHG_379285_303190,WTCHG_441197_266115,2.848237977,2.181773447
WTCHG_379285_303190,WTCHG_441197_236150,2.848195888,2.168555706
WTCHG_379285_303190,WTCHG_444991_268139,2.845547685,2.744514291
WTCHG_379285_251190,WTCHG_441196_206166,2.839165301,1.381876063
WTCHG_444991_232103,WTCHG_585651_230128,2.835700444,0.030362887
WTCHG_598913_262136,WTCHG_441197_245160,2.829137488,1.761843583
WTCHG_777461_73155291,WTCHG_774610_73645340,2.824241349,3.403317545
WTCHG_585648_290180,WTCHG_585648_280110,2.823263239,0.006205789
WTCHG_774610_72575233,WTCHG_441196_260137,2.820577295,8.944052881
WTCHG_441196_238170,WTCHG_441196_260137,2.819972475,6.985491018
WTCHG_777461_73005372,WTCHG_441196_260137,2.817002453,7.986314298
WTCHG_777461_73085380,WTCHG_441196_260137,2.816111003,4.739913922
WTCHG_585650_220152,WTCHG_441196_260137,2.815026782,8.382104856
WTCHG_585650_283129,WTCHG_441196_260137,2.814536672,8.561090882
WTCHG_585648_288109,WTCHG_441196_260137,2.814374127,6.683554538
WTCHG_774610_73315307,WTCHG_598913_255113,2.813428955,3.092190804
WTCHG_441197_289191,WTCHG_441195_209107,2.812997797,3.280593928
WTCHG_777461_70975169,WTCHG_598913_255113,2.812635432,2.608738614
WTCHG_598912_217188,WTCHG_585648_290117,2.810683035,6.540446667
WTCHG_585650_214168,WTCHG_598913_255113,2.805576322,5.673932402
WTCHG_774610_72315207,WTCHG_441196_263173,0.834381105,8.353175272
WTCHG_774610_70505026,WTCHG_444991_247113,2.802163002,0.541274664
WTCHG_441195_245138,WTCHG_441197_272187,2.795130158,2.749651497
WTCHG_385771_280103,WTCHG_598912_237158,2.794104192,0.460854045
WTCHG_441195_245138,WTCHG_441197_208191,2.793366945,2.777701529
WTCHG_444991_295119,WTCHG_774611_72355211,2.792509036,1.490259982
WTCHG_777461_73175293,WTCHG_774611_73695345,2.792465012,1.069676291
WTCHG_777461_73175293,WTCHG_774611_72555231,2.790791952,1.974111362
WTCHG_585650_267170,WTCHG_441196_263173,0.838853988,7.422900724
WTCHG_598912_293143,WTCHG_441196_263173,0.841385693,8.415253175
WTCHG_769357_71405116,WTCHG_379286_294189,2.788368305,0.059050066
WTCHG_441195_242174,WTCHG_441197_202178,2.787465173,2.908694713
WTCHG_441195_242174,WTCHG_598912_294131,2.786735083,0.439859331
WTCHG_441195_242174,WTCHG_598912_292155,2.786413384,0.439452358
WTCHG_441196_201191,WTCHG_769357_72435219,2.783206771,0.737507023
WTCHG_441195_241111,WTCHG_441195_223180,2.778626583,0.809770382
WTCHG_598913_262136,WTCHG_444990_252137,2.769982358,0.698283012
WTCHG_441197_274116,WTCHG_444990_285144,2.76945222,0.348763999
WTCHG_441195_239182,WTCHG_441197_202178,2.761589637,3.090302715
WTCHG_441195_239182,WTCHG_598912_294131,2.760859547,0.621467333
WTCHG_441195_239182,WTCHG_598912_292155,2.760537848,0.62106036
WTCHG_441195_264185,WTCHG_379286_240189,2.759248157,0.74261643
WTCHG_777461_71745150,WTCHG_441196_277151,2.75138667,1.165993337
WTCHG_769357_71385114,WTCHG_769357_71085180,0.87666979,0.049963216
WTCHG_774611_71995271,WTCHG_777461_73605336,2.750037678,8.400906806
